reftrta,reftrtan,VISIT,VISITNUM,TRTA,TRTAN,PARAMCD,PARAM,lsmeans_difference,pval_interaction,lowerci95,upperci95,covariatestructure
Placebo,0,WEEK 26,13,Xanomeline High Dose,81,PLAT,Platelet (GI/L),-0.4526,0.95645772593860000,-16.7087,15.8036,Heterogeneous First Order Autoregressive
Placebo,0,WEEK 2,4,Xanomeline Low Dose,54,PLAT,Platelet (GI/L),8.7666,0.10306586375309000,-1.7754,19.3087,Heterogeneous Compound Symmetry
Xanomeline High Dose,81,WEEK 2,4,Xanomeline Low Dose,54,PLAT,Platelet (GI/L),0.8353,0.87609997866629000,-9.6711,11.3417,Heterogeneous Compound Symmetry
Placebo,0,WEEK 2,4,Xanomeline High Dose,81,PLAT,Platelet (GI/L),7.9313,0.13933706054100000,-2.5871,18.4497,Heterogeneous Compound Symmetry
Placebo,0,WEEK 4,5,Xanomeline Low Dose,54,PLAT,Platelet (GI/L),7.6633,0.16934313395662000,-3.2688,18.5954,Heterogeneous Compound Symmetry
Xanomeline High Dose,81,WEEK 4,5,Xanomeline Low Dose,54,PLAT,Platelet (GI/L),-2.1711,0.70449545411085000,-13.3971,9.0550,Heterogeneous Compound Symmetry
Placebo,0,WEEK 4,5,Xanomeline High Dose,81,PLAT,Platelet (GI/L),9.8343,0.07803430690308000,-1.1048,20.7735,Heterogeneous Compound Symmetry
Placebo,0,WEEK 6,7,Xanomeline Low Dose,54,PLAT,Platelet (GI/L),0.03195,0.99575981562918000,-11.7570,11.8209,Heterogeneous Compound Symmetry
Xanomeline High Dose,81,WEEK 6,7,Xanomeline Low Dose,54,PLAT,Platelet (GI/L),-3.5911,0.55468404928640000,-15.5117,8.3295,Heterogeneous Compound Symmetry
Placebo,0,WEEK 6,7,Xanomeline High Dose,81,PLAT,Platelet (GI/L),3.6231,0.53045420461286000,-7.7026,14.9487,Heterogeneous Compound Symmetry
Placebo,0,WEEK 8,8,Xanomeline Low Dose,54,PLAT,Platelet (GI/L),7.1235,0.23364471856797000,-4.6033,18.8504,Heterogeneous Compound Symmetry
Xanomeline High Dose,81,WEEK 8,8,Xanomeline Low Dose,54,PLAT,Platelet (GI/L),-3.0470,0.63048229780091000,-15.4685,9.3744,Heterogeneous Compound Symmetry
Placebo,0,WEEK 8,8,Xanomeline High Dose,81,PLAT,Platelet (GI/L),10.1706,0.09387764943753000,-1.7301,22.0712,Heterogeneous Compound Symmetry
Placebo,0,WEEK 12,9,Xanomeline Low Dose,54,PLAT,Platelet (GI/L),9.1999,0.14222227833282000,-3.0899,21.4896,Heterogeneous Compound Symmetry
Xanomeline High Dose,81,WEEK 12,9,Xanomeline Low Dose,54,PLAT,Platelet (GI/L),-7.0164,0.26993219046297000,-19.4865,5.4538,Heterogeneous Compound Symmetry
Placebo,0,WEEK 12,9,Xanomeline High Dose,81,PLAT,Platelet (GI/L),16.2163,0.00918982895388250,4.0204,28.4121,Heterogeneous Compound Symmetry
Placebo,0,WEEK 16,10,Xanomeline Low Dose,54,PLAT,Platelet (GI/L),9.9863,0.13481272700675000,-3.1056,23.0781,Heterogeneous Compound Symmetry
Xanomeline High Dose,81,WEEK 16,10,Xanomeline Low Dose,54,PLAT,Platelet (GI/L),-2.2255,0.76728093455809000,-16.9736,12.5225,Heterogeneous Compound Symmetry
Placebo,0,WEEK 16,10,Xanomeline High Dose,81,PLAT,Platelet (GI/L),12.2118,0.07607786629558000,-1.2822,25.7058,Heterogeneous Compound Symmetry
Placebo,0,WEEK 20,11,Xanomeline Low Dose,54,PLAT,Platelet (GI/L),10.9519,0.12719863251689000,-3.1247,25.0284,Heterogeneous Compound Symmetry
Xanomeline High Dose,81,WEEK 20,11,Xanomeline Low Dose,54,PLAT,Platelet (GI/L),8.3166,0.32498849559940000,-8.2515,24.8847,Heterogeneous Compound Symmetry
Placebo,0,WEEK 20,11,Xanomeline High Dose,81,PLAT,Platelet (GI/L),2.6353,0.71881275813331000,-11.7182,16.9887,Heterogeneous Compound Symmetry
Placebo,0,WEEK 24,12,Xanomeline Low Dose,54,PLAT,Platelet (GI/L),10.2527,0.09819158841610000,-1.9009,22.4062,Heterogeneous Compound Symmetry
Xanomeline High Dose,81,WEEK 24,12,Xanomeline Low Dose,54,PLAT,Platelet (GI/L),-1.7373,0.80438580297832000,-15.4934,12.0188,Heterogeneous Compound Symmetry
Placebo,0,WEEK 24,12,Xanomeline High Dose,81,PLAT,Platelet (GI/L),11.9900,0.03564720860130170,0.8055,23.1745,Heterogeneous Compound Symmetry
Placebo,0,WEEK 26,13,Xanomeline Low Dose,54,PLAT,Platelet (GI/L),-2.5104,0.77160326552855000,-19.4702,14.4494,Heterogeneous Compound Symmetry
Xanomeline High Dose,81,WEEK 26,13,Xanomeline Low Dose,54,PLAT,Platelet (GI/L),-2.0578,0.83642554818810000,-21.6034,17.4878,Heterogeneous Compound Symmetry
Placebo,0,WEEK 26,13,Xanomeline High Dose,81,PLAT,Platelet (GI/L),-0.4526,0.95645772593860000,-16.7087,15.8036,Heterogeneous Compound Symmetry
Placebo,0,WEEK 2,4,Xanomeline Low Dose,54,PLAT,Platelet (GI/L),8.7666,0.10306586375309000,-1.7754,19.3087,First Order Autoregressive
Xanomeline High Dose,81,WEEK 2,4,Xanomeline Low Dose,54,PLAT,Platelet (GI/L),0.8353,0.87609997866629000,-9.6711,11.3417,First Order Autoregressive
Placebo,0,WEEK 2,4,Xanomeline High Dose,81,PLAT,Platelet (GI/L),7.9313,0.13933706054100000,-2.5871,18.4497,First Order Autoregressive
Placebo,0,WEEK 4,5,Xanomeline Low Dose,54,PLAT,Platelet (GI/L),7.6633,0.16934313395662000,-3.2688,18.5954,First Order Autoregressive
Xanomeline High Dose,81,WEEK 4,5,Xanomeline Low Dose,54,PLAT,Platelet (GI/L),-2.1711,0.70449545411085000,-13.3971,9.0550,First Order Autoregressive
Placebo,0,WEEK 4,5,Xanomeline High Dose,81,PLAT,Platelet (GI/L),9.8343,0.07803430690308000,-1.1048,20.7735,First Order Autoregressive
Placebo,0,WEEK 6,7,Xanomeline Low Dose,54,PLAT,Platelet (GI/L),0.03195,0.99575981562918000,-11.7570,11.8209,First Order Autoregressive
Xanomeline High Dose,81,WEEK 6,7,Xanomeline Low Dose,54,PLAT,Platelet (GI/L),-3.5911,0.55468404928640000,-15.5117,8.3295,First Order Autoregressive
Placebo,0,WEEK 6,7,Xanomeline High Dose,81,PLAT,Platelet (GI/L),3.6231,0.53045420461286000,-7.7026,14.9487,First Order Autoregressive
Placebo,0,WEEK 8,8,Xanomeline Low Dose,54,PLAT,Platelet (GI/L),7.1235,0.23364471856797000,-4.6033,18.8504,First Order Autoregressive
Xanomeline High Dose,81,WEEK 8,8,Xanomeline Low Dose,54,PLAT,Platelet (GI/L),-3.0470,0.63048229780091000,-15.4685,9.3744,First Order Autoregressive
Placebo,0,WEEK 8,8,Xanomeline High Dose,81,PLAT,Platelet (GI/L),10.1706,0.09387764943753000,-1.7301,22.0712,First Order Autoregressive
Placebo,0,WEEK 12,9,Xanomeline Low Dose,54,PLAT,Platelet (GI/L),9.1999,0.14222227833282000,-3.0899,21.4896,First Order Autoregressive
Xanomeline High Dose,81,WEEK 12,9,Xanomeline Low Dose,54,PLAT,Platelet (GI/L),-7.0164,0.26993219046297000,-19.4865,5.4538,First Order Autoregressive
Placebo,0,WEEK 12,9,Xanomeline High Dose,81,PLAT,Platelet (GI/L),16.2163,0.00918982895388250,4.0204,28.4121,First Order Autoregressive
Placebo,0,WEEK 16,10,Xanomeline Low Dose,54,PLAT,Platelet (GI/L),9.9863,0.13481272700675000,-3.1056,23.0781,First Order Autoregressive
Xanomeline High Dose,81,WEEK 16,10,Xanomeline Low Dose,54,PLAT,Platelet (GI/L),-2.2255,0.76728093455809000,-16.9736,12.5225,First Order Autoregressive
Placebo,0,WEEK 16,10,Xanomeline High Dose,81,PLAT,Platelet (GI/L),12.2118,0.07607786629558000,-1.2822,25.7058,First Order Autoregressive
Placebo,0,WEEK 20,11,Xanomeline Low Dose,54,PLAT,Platelet (GI/L),10.9519,0.12719863251689000,-3.1247,25.0284,First Order Autoregressive
Xanomeline High Dose,81,WEEK 20,11,Xanomeline Low Dose,54,PLAT,Platelet (GI/L),8.3166,0.32498849559940000,-8.2515,24.8847,First Order Autoregressive
Placebo,0,WEEK 20,11,Xanomeline High Dose,81,PLAT,Platelet (GI/L),2.6353,0.71881275813331000,-11.7182,16.9887,First Order Autoregressive
Placebo,0,WEEK 24,12,Xanomeline Low Dose,54,PLAT,Platelet (GI/L),10.2527,0.09819158841610000,-1.9009,22.4062,First Order Autoregressive
Xanomeline High Dose,81,WEEK 24,12,Xanomeline Low Dose,54,PLAT,Platelet (GI/L),-1.7373,0.80438580297832000,-15.4934,12.0188,First Order Autoregressive
Placebo,0,WEEK 24,12,Xanomeline High Dose,81,PLAT,Platelet (GI/L),11.9900,0.03564720860130170,0.8055,23.1745,First Order Autoregressive
Placebo,0,WEEK 26,13,Xanomeline Low Dose,54,PLAT,Platelet (GI/L),-2.5104,0.77160326552855000,-19.4702,14.4494,First Order Autoregressive
Xanomeline High Dose,81,WEEK 26,13,Xanomeline Low Dose,54,PLAT,Platelet (GI/L),-2.0578,0.83642554818810000,-21.6034,17.4878,First Order Autoregressive
Placebo,0,WEEK 26,13,Xanomeline High Dose,81,PLAT,Platelet (GI/L),-0.4526,0.95645772593860000,-16.7087,15.8036,First Order Autoregressive
Placebo,0,WEEK 2,4,Xanomeline Low Dose,54,PLAT,Platelet (GI/L),8.7666,0.10306586375309000,-1.7754,19.3087,Compound Symmetry
Xanomeline High Dose,81,WEEK 2,4,Xanomeline Low Dose,54,PLAT,Platelet (GI/L),0.8353,0.87609997866629000,-9.6711,11.3417,Compound Symmetry
Placebo,0,WEEK 2,4,Xanomeline High Dose,81,PLAT,Platelet (GI/L),7.9313,0.13933706054100000,-2.5871,18.4497,Compound Symmetry
Placebo,0,WEEK 4,5,Xanomeline Low Dose,54,PLAT,Platelet (GI/L),7.6633,0.16934313395662000,-3.2688,18.5954,Compound Symmetry
Xanomeline High Dose,81,WEEK 4,5,Xanomeline Low Dose,54,PLAT,Platelet (GI/L),-2.1711,0.70449545411085000,-13.3971,9.0550,Compound Symmetry
Placebo,0,WEEK 4,5,Xanomeline High Dose,81,PLAT,Platelet (GI/L),9.8343,0.07803430690308000,-1.1048,20.7735,Compound Symmetry
Placebo,0,WEEK 6,7,Xanomeline Low Dose,54,PLAT,Platelet (GI/L),0.03195,0.99575981562918000,-11.7570,11.8209,Compound Symmetry
Xanomeline High Dose,81,WEEK 6,7,Xanomeline Low Dose,54,PLAT,Platelet (GI/L),-3.5911,0.55468404928640000,-15.5117,8.3295,Compound Symmetry
Placebo,0,WEEK 6,7,Xanomeline High Dose,81,PLAT,Platelet (GI/L),3.6231,0.53045420461286000,-7.7026,14.9487,Compound Symmetry
Placebo,0,WEEK 8,8,Xanomeline Low Dose,54,PLAT,Platelet (GI/L),7.1235,0.23364471856797000,-4.6033,18.8504,Compound Symmetry
Xanomeline High Dose,81,WEEK 8,8,Xanomeline Low Dose,54,PLAT,Platelet (GI/L),-3.0470,0.63048229780091000,-15.4685,9.3744,Compound Symmetry
Placebo,0,WEEK 8,8,Xanomeline High Dose,81,PLAT,Platelet (GI/L),10.1706,0.09387764943753000,-1.7301,22.0712,Compound Symmetry
Placebo,0,WEEK 12,9,Xanomeline Low Dose,54,PLAT,Platelet (GI/L),9.1999,0.14222227833282000,-3.0899,21.4896,Compound Symmetry
Xanomeline High Dose,81,WEEK 12,9,Xanomeline Low Dose,54,PLAT,Platelet (GI/L),-7.0164,0.26993219046297000,-19.4865,5.4538,Compound Symmetry
Placebo,0,WEEK 12,9,Xanomeline High Dose,81,PLAT,Platelet (GI/L),16.2163,0.00918982895388250,4.0204,28.4121,Compound Symmetry
Placebo,0,WEEK 16,10,Xanomeline Low Dose,54,PLAT,Platelet (GI/L),9.9863,0.13481272700675000,-3.1056,23.0781,Compound Symmetry
Xanomeline High Dose,81,WEEK 16,10,Xanomeline Low Dose,54,PLAT,Platelet (GI/L),-2.2255,0.76728093455809000,-16.9736,12.5225,Compound Symmetry
Placebo,0,WEEK 16,10,Xanomeline High Dose,81,PLAT,Platelet (GI/L),12.2118,0.07607786629558000,-1.2822,25.7058,Compound Symmetry
Placebo,0,WEEK 20,11,Xanomeline Low Dose,54,PLAT,Platelet (GI/L),10.9519,0.12719863251689000,-3.1247,25.0284,Compound Symmetry
Xanomeline High Dose,81,WEEK 20,11,Xanomeline Low Dose,54,PLAT,Platelet (GI/L),8.3166,0.32498849559940000,-8.2515,24.8847,Compound Symmetry
Placebo,0,WEEK 20,11,Xanomeline High Dose,81,PLAT,Platelet (GI/L),2.6353,0.71881275813331000,-11.7182,16.9887,Compound Symmetry
Placebo,0,WEEK 24,12,Xanomeline Low Dose,54,PLAT,Platelet (GI/L),10.2527,0.09819158841610000,-1.9009,22.4062,Compound Symmetry
Xanomeline High Dose,81,WEEK 24,12,Xanomeline Low Dose,54,PLAT,Platelet (GI/L),-1.7373,0.80438580297832000,-15.4934,12.0188,Compound Symmetry
Placebo,0,WEEK 24,12,Xanomeline High Dose,81,PLAT,Platelet (GI/L),11.9900,0.03564720860130170,0.8055,23.1745,Compound Symmetry
Placebo,0,WEEK 26,13,Xanomeline Low Dose,54,PLAT,Platelet (GI/L),-2.5104,0.77160326552855000,-19.4702,14.4494,Compound Symmetry
Xanomeline High Dose,81,WEEK 26,13,Xanomeline Low Dose,54,PLAT,Platelet (GI/L),-2.0578,0.83642554818810000,-21.6034,17.4878,Compound Symmetry
Placebo,0,WEEK 26,13,Xanomeline High Dose,81,PLAT,Platelet (GI/L),-0.4526,0.95645772593860000,-16.7087,15.8036,Compound Symmetry
Placebo,0,WEEK 2,4,Xanomeline Low Dose,54,MONO,Monocytes (GI/L),0.03136,0.10200031165228000,-0.00623,0.06896,Unstructured
Xanomeline High Dose,81,WEEK 2,4,Xanomeline Low Dose,54,MONO,Monocytes (GI/L),0.01145,0.54931956374381000,-0.02604,0.04894,Unstructured
Placebo,0,WEEK 2,4,Xanomeline High Dose,81,MONO,Monocytes (GI/L),0.01991,0.30162984702307000,-0.01789,0.05772,Unstructured
Placebo,0,WEEK 4,5,Xanomeline Low Dose,54,MONO,Monocytes (GI/L),0.01031,0.60370966426916000,-0.02864,0.04926,Unstructured
Xanomeline High Dose,81,WEEK 4,5,Xanomeline Low Dose,54,MONO,Monocytes (GI/L),0.009949,0.62600039350347000,-0.03008,0.04998,Unstructured
Placebo,0,WEEK 4,5,Xanomeline High Dose,81,MONO,Monocytes (GI/L),0.000361,0.98553208785650000,-0.03867,0.03940,Unstructured
Placebo,0,WEEK 6,7,Xanomeline Low Dose,54,MONO,Monocytes (GI/L),0.01989,0.35119423684217000,-0.02194,0.06172,Unstructured
Xanomeline High Dose,81,WEEK 6,7,Xanomeline Low Dose,54,MONO,Monocytes (GI/L),-0.01032,0.63298058740554000,-0.05271,0.03206,Unstructured
Placebo,0,WEEK 6,7,Xanomeline High Dose,81,MONO,Monocytes (GI/L),0.03021,0.14549869240486000,-0.01048,0.07090,Unstructured
Placebo,0,WEEK 8,8,Xanomeline Low Dose,54,MONO,Monocytes (GI/L),0.02190,0.30714566247786000,-0.02015,0.06394,Unstructured
Xanomeline High Dose,81,WEEK 8,8,Xanomeline Low Dose,54,MONO,Monocytes (GI/L),-0.00062,0.97814512643486000,-0.04481,0.04357,Unstructured
Placebo,0,WEEK 8,8,Xanomeline High Dose,81,MONO,Monocytes (GI/L),0.02251,0.29738606315181000,-0.01985,0.06488,Unstructured
Placebo,0,WEEK 12,9,Xanomeline Low Dose,54,MONO,Monocytes (GI/L),0.01502,0.50367430697806000,-0.02903,0.05908,Unstructured
Xanomeline High Dose,81,WEEK 12,9,Xanomeline Low Dose,54,MONO,Monocytes (GI/L),0.03894,0.08761773679137000,-0.00575,0.08364,Unstructured
Placebo,0,WEEK 12,9,Xanomeline High Dose,81,MONO,Monocytes (GI/L),-0.02392,0.28059821524861000,-0.06739,0.01955,Unstructured
Placebo,0,WEEK 16,10,Xanomeline Low Dose,54,MONO,Monocytes (GI/L),0.000476,0.98387325801995000,-0.04571,0.04666,Unstructured
Xanomeline High Dose,81,WEEK 16,10,Xanomeline Low Dose,54,MONO,Monocytes (GI/L),0.01744,0.51293314303650000,-0.03483,0.06970,Unstructured
Placebo,0,WEEK 16,10,Xanomeline High Dose,81,MONO,Monocytes (GI/L),-0.01696,0.49254761281821000,-0.06543,0.03151,Unstructured
Placebo,0,WEEK 20,11,Xanomeline Low Dose,54,MONO,Monocytes (GI/L),-0.02066,0.42374349225664000,-0.07129,0.02998,Unstructured
Xanomeline High Dose,81,WEEK 20,11,Xanomeline Low Dose,54,MONO,Monocytes (GI/L),-0.00481,0.87438474324418000,-0.06444,0.05483,Unstructured
Placebo,0,WEEK 20,11,Xanomeline High Dose,81,MONO,Monocytes (GI/L),-0.01585,0.54763421187213000,-0.06753,0.03583,Unstructured
Placebo,0,WEEK 24,12,Xanomeline Low Dose,54,MONO,Monocytes (GI/L),-0.02502,0.24586878002670000,-0.06730,0.01726,Unstructured
Xanomeline High Dose,81,WEEK 24,12,Xanomeline Low Dose,54,MONO,Monocytes (GI/L),0.01086,0.65703635749897000,-0.03712,0.05885,Unstructured
Placebo,0,WEEK 24,12,Xanomeline High Dose,81,MONO,Monocytes (GI/L),-0.03589,0.07627796904290000,-0.07557,0.003795,Unstructured
Placebo,0,WEEK 26,13,Xanomeline Low Dose,54,MONO,Monocytes (GI/L),-0.03136,0.30502119526067000,-0.09131,0.02859,Unstructured
Xanomeline High Dose,81,WEEK 26,13,Xanomeline Low Dose,54,MONO,Monocytes (GI/L),-0.02245,0.52688750053453000,-0.09201,0.04712,Unstructured
Placebo,0,WEEK 26,13,Xanomeline High Dose,81,MONO,Monocytes (GI/L),-0.00891,0.76447364877717000,-0.06726,0.04943,Unstructured
Placebo,0,WEEK 2,4,Xanomeline Low Dose,54,MONO,Monocytes (GI/L),0.03136,0.10200031165228000,-0.00623,0.06896,Toeplitz
Xanomeline High Dose,81,WEEK 2,4,Xanomeline Low Dose,54,MONO,Monocytes (GI/L),0.01145,0.54931956374381000,-0.02604,0.04894,Toeplitz
Placebo,0,WEEK 2,4,Xanomeline High Dose,81,MONO,Monocytes (GI/L),0.01991,0.30162984702307000,-0.01789,0.05772,Toeplitz
Placebo,0,WEEK 4,5,Xanomeline Low Dose,54,MONO,Monocytes (GI/L),0.01031,0.60370966426916000,-0.02864,0.04926,Toeplitz
Xanomeline High Dose,81,WEEK 4,5,Xanomeline Low Dose,54,MONO,Monocytes (GI/L),0.009949,0.62600039350347000,-0.03008,0.04998,Toeplitz
Placebo,0,WEEK 4,5,Xanomeline High Dose,81,MONO,Monocytes (GI/L),0.000361,0.98553208785650000,-0.03867,0.03940,Toeplitz
Placebo,0,WEEK 6,7,Xanomeline Low Dose,54,MONO,Monocytes (GI/L),0.01989,0.35119423684217000,-0.02194,0.06172,Toeplitz
Xanomeline High Dose,81,WEEK 6,7,Xanomeline Low Dose,54,MONO,Monocytes (GI/L),-0.01032,0.63298058740554000,-0.05271,0.03206,Toeplitz
Placebo,0,WEEK 6,7,Xanomeline High Dose,81,MONO,Monocytes (GI/L),0.03021,0.14549869240486000,-0.01048,0.07090,Toeplitz
Placebo,0,WEEK 8,8,Xanomeline Low Dose,54,MONO,Monocytes (GI/L),0.02190,0.30714566247786000,-0.02015,0.06394,Toeplitz
Xanomeline High Dose,81,WEEK 8,8,Xanomeline Low Dose,54,MONO,Monocytes (GI/L),-0.00062,0.97814512643486000,-0.04481,0.04357,Toeplitz
Placebo,0,WEEK 8,8,Xanomeline High Dose,81,MONO,Monocytes (GI/L),0.02251,0.29738606315181000,-0.01985,0.06488,Toeplitz
Placebo,0,WEEK 12,9,Xanomeline Low Dose,54,MONO,Monocytes (GI/L),0.01502,0.50367430697806000,-0.02903,0.05908,Toeplitz
Xanomeline High Dose,81,WEEK 12,9,Xanomeline Low Dose,54,MONO,Monocytes (GI/L),0.03894,0.08761773679137000,-0.00575,0.08364,Toeplitz
Placebo,0,WEEK 12,9,Xanomeline High Dose,81,MONO,Monocytes (GI/L),-0.02392,0.28059821524861000,-0.06739,0.01955,Toeplitz
Placebo,0,WEEK 16,10,Xanomeline Low Dose,54,MONO,Monocytes (GI/L),0.000476,0.98387325801995000,-0.04571,0.04666,Toeplitz
Xanomeline High Dose,81,WEEK 16,10,Xanomeline Low Dose,54,MONO,Monocytes (GI/L),0.01744,0.51293314303650000,-0.03483,0.06970,Toeplitz
Placebo,0,WEEK 16,10,Xanomeline High Dose,81,MONO,Monocytes (GI/L),-0.01696,0.49254761281821000,-0.06543,0.03151,Toeplitz
Placebo,0,WEEK 20,11,Xanomeline Low Dose,54,MONO,Monocytes (GI/L),-0.02066,0.42374349225664000,-0.07129,0.02998,Toeplitz
Xanomeline High Dose,81,WEEK 20,11,Xanomeline Low Dose,54,MONO,Monocytes (GI/L),-0.00481,0.87438474324418000,-0.06444,0.05483,Toeplitz
Placebo,0,WEEK 20,11,Xanomeline High Dose,81,MONO,Monocytes (GI/L),-0.01585,0.54763421187213000,-0.06753,0.03583,Toeplitz
Placebo,0,WEEK 24,12,Xanomeline Low Dose,54,MONO,Monocytes (GI/L),-0.02502,0.24586878002670000,-0.06730,0.01726,Toeplitz
Xanomeline High Dose,81,WEEK 24,12,Xanomeline Low Dose,54,MONO,Monocytes (GI/L),0.01086,0.65703635749897000,-0.03712,0.05885,Toeplitz
Placebo,0,WEEK 24,12,Xanomeline High Dose,81,MONO,Monocytes (GI/L),-0.03589,0.07627796904290000,-0.07557,0.003795,Toeplitz
Placebo,0,WEEK 26,13,Xanomeline Low Dose,54,MONO,Monocytes (GI/L),-0.03136,0.30502119526067000,-0.09131,0.02859,Toeplitz
Xanomeline High Dose,81,WEEK 26,13,Xanomeline Low Dose,54,MONO,Monocytes (GI/L),-0.02245,0.52688750053453000,-0.09201,0.04712,Toeplitz
Placebo,0,WEEK 26,13,Xanomeline High Dose,81,MONO,Monocytes (GI/L),-0.00891,0.76447364877717000,-0.06726,0.04943,Toeplitz
Placebo,0,WEEK 2,4,Xanomeline Low Dose,54,MONO,Monocytes (GI/L),0.03136,0.10200031165228000,-0.00623,0.06896,Heterogeneous First Order Autoregressive
Xanomeline High Dose,81,WEEK 2,4,Xanomeline Low Dose,54,MONO,Monocytes (GI/L),0.01145,0.54931956374381000,-0.02604,0.04894,Heterogeneous First Order Autoregressive
Placebo,0,WEEK 2,4,Xanomeline High Dose,81,MONO,Monocytes (GI/L),0.01991,0.30162984702307000,-0.01789,0.05772,Heterogeneous First Order Autoregressive
Placebo,0,WEEK 4,5,Xanomeline Low Dose,54,MONO,Monocytes (GI/L),0.01031,0.60370966426916000,-0.02864,0.04926,Heterogeneous First Order Autoregressive
Xanomeline High Dose,81,WEEK 4,5,Xanomeline Low Dose,54,MONO,Monocytes (GI/L),0.009949,0.62600039350347000,-0.03008,0.04998,Heterogeneous First Order Autoregressive
Placebo,0,WEEK 4,5,Xanomeline High Dose,81,MONO,Monocytes (GI/L),0.000361,0.98553208785650000,-0.03867,0.03940,Heterogeneous First Order Autoregressive
Placebo,0,WEEK 6,7,Xanomeline Low Dose,54,MONO,Monocytes (GI/L),0.01989,0.35119423684217000,-0.02194,0.06172,Heterogeneous First Order Autoregressive
Xanomeline High Dose,81,WEEK 6,7,Xanomeline Low Dose,54,MONO,Monocytes (GI/L),-0.01032,0.63298058740554000,-0.05271,0.03206,Heterogeneous First Order Autoregressive
Placebo,0,WEEK 6,7,Xanomeline High Dose,81,MONO,Monocytes (GI/L),0.03021,0.14549869240486000,-0.01048,0.07090,Heterogeneous First Order Autoregressive
Placebo,0,WEEK 8,8,Xanomeline Low Dose,54,MONO,Monocytes (GI/L),0.02190,0.30714566247786000,-0.02015,0.06394,Heterogeneous First Order Autoregressive
Xanomeline High Dose,81,WEEK 8,8,Xanomeline Low Dose,54,MONO,Monocytes (GI/L),-0.00062,0.97814512643486000,-0.04481,0.04357,Heterogeneous First Order Autoregressive
Placebo,0,WEEK 8,8,Xanomeline High Dose,81,MONO,Monocytes (GI/L),0.02251,0.29738606315181000,-0.01985,0.06488,Heterogeneous First Order Autoregressive
Placebo,0,WEEK 12,9,Xanomeline Low Dose,54,MONO,Monocytes (GI/L),0.01502,0.50367430697806000,-0.02903,0.05908,Heterogeneous First Order Autoregressive
Xanomeline High Dose,81,WEEK 12,9,Xanomeline Low Dose,54,MONO,Monocytes (GI/L),0.03894,0.08761773679137000,-0.00575,0.08364,Heterogeneous First Order Autoregressive
Placebo,0,WEEK 12,9,Xanomeline High Dose,81,MONO,Monocytes (GI/L),-0.02392,0.28059821524861000,-0.06739,0.01955,Heterogeneous First Order Autoregressive
Placebo,0,WEEK 16,10,Xanomeline Low Dose,54,MONO,Monocytes (GI/L),0.000476,0.98387325801995000,-0.04571,0.04666,Heterogeneous First Order Autoregressive
Xanomeline High Dose,81,WEEK 16,10,Xanomeline Low Dose,54,MONO,Monocytes (GI/L),0.01744,0.51293314303650000,-0.03483,0.06970,Heterogeneous First Order Autoregressive
Placebo,0,WEEK 16,10,Xanomeline High Dose,81,MONO,Monocytes (GI/L),-0.01696,0.49254761281821000,-0.06543,0.03151,Heterogeneous First Order Autoregressive
Placebo,0,WEEK 20,11,Xanomeline Low Dose,54,MONO,Monocytes (GI/L),-0.02066,0.42374349225664000,-0.07129,0.02998,Heterogeneous First Order Autoregressive
Xanomeline High Dose,81,WEEK 20,11,Xanomeline Low Dose,54,MONO,Monocytes (GI/L),-0.00481,0.87438474324418000,-0.06444,0.05483,Heterogeneous First Order Autoregressive
Placebo,0,WEEK 20,11,Xanomeline High Dose,81,MONO,Monocytes (GI/L),-0.01585,0.54763421187213000,-0.06753,0.03583,Heterogeneous First Order Autoregressive
Placebo,0,WEEK 24,12,Xanomeline Low Dose,54,MONO,Monocytes (GI/L),-0.02502,0.24586878002670000,-0.06730,0.01726,Heterogeneous First Order Autoregressive
Xanomeline High Dose,81,WEEK 24,12,Xanomeline Low Dose,54,MONO,Monocytes (GI/L),0.01086,0.65703635749897000,-0.03712,0.05885,Heterogeneous First Order Autoregressive
Placebo,0,WEEK 24,12,Xanomeline High Dose,81,MONO,Monocytes (GI/L),-0.03589,0.07627796904290000,-0.07557,0.003795,Heterogeneous First Order Autoregressive
Placebo,0,WEEK 26,13,Xanomeline Low Dose,54,MONO,Monocytes (GI/L),-0.03136,0.30502119526067000,-0.09131,0.02859,Heterogeneous First Order Autoregressive
Xanomeline High Dose,81,WEEK 26,13,Xanomeline Low Dose,54,MONO,Monocytes (GI/L),-0.02245,0.52688750053453000,-0.09201,0.04712,Heterogeneous First Order Autoregressive
Placebo,0,WEEK 26,13,Xanomeline High Dose,81,MONO,Monocytes (GI/L),-0.00891,0.76447364877717000,-0.06726,0.04943,Heterogeneous First Order Autoregressive
Placebo,0,WEEK 2,4,Xanomeline Low Dose,54,MONO,Monocytes (GI/L),0.03136,0.10200031165228000,-0.00623,0.06896,Heterogeneous Compound Symmetry
Xanomeline High Dose,81,WEEK 2,4,Xanomeline Low Dose,54,MONO,Monocytes (GI/L),0.01145,0.54931956374381000,-0.02604,0.04894,Heterogeneous Compound Symmetry
Placebo,0,WEEK 2,4,Xanomeline High Dose,81,MONO,Monocytes (GI/L),0.01991,0.30162984702307000,-0.01789,0.05772,Heterogeneous Compound Symmetry
Placebo,0,WEEK 4,5,Xanomeline Low Dose,54,MONO,Monocytes (GI/L),0.01031,0.60370966426916000,-0.02864,0.04926,Heterogeneous Compound Symmetry
